tx_id,rx_id,distance,rssi,snr
4,14,254.103,-108.814,15.9529
6,1,207.784,-113.022,8.19108
6,2,44.3013,-90.883,30.3355
6,5,94.6275,-98.8778,22.3407
6,9,31.8911,-89.4489,31.7695
6,10,88.4217,-96.0538,25.1647
6,11,95.3957,-96.2236,24.9949
6,16,86.1324,-97.7174,23.5011
10,2,80.4183,-103.186,18.0329
10,3,235.316,-116.998,8.09594
10,4,9.1495,-93.0916,28.1269
10,5,30.3087,-96.5908,24.6277
10,6,88.5356,-96.0586,25.1599
10,9,86.9349,-96.8543,24.3642
10,11,19.1763,-85.6209,35.5976
10,12,85.397,-116.231,7.49162
10,16,3.65344,-80.9663,40.2522
10,1,252.863,-115.641,5.57761
10,7,262.475,-119.155,2.06335
10,8,246.646,-115.946,8.03004
10,13,265.483,-114.698,7.50289
10,14,248.557,-117.238,7.77715
8,6,235.912,-106.974,14.0493
8,9,267.189,-115.774,7.46508
14,1,95.5833,-96.6389,24.5796
14,2,277.028,-103.582,17.6366
14,3,13.3721,-90.6122,30.6063
14,4,254.309,-115.283,12.0721
14,5,220.194,-107.703,13.5153
14,6,236.178,-106.505,14.7135
14,7,91.6532,-97.6789,23.5396
14,8,3.59438,-75.994,45.2245
14,9,267.673,-105.911,15.3076
14,11,232.744,-105.494,15.7245
14,12,247.808,-103.906,17.3127
14,13,94.6342,-108.418,12.8006
14,16,245.19,-112.429,10.2384
13,1,13.5821,-78.3705,42.848
13,2,265.65,-111.294,9.92439
13,3,95.5806,-111.218,10.0009
13,4,268.295,-115.387,5.83125
13,5,243.324,-107.629,13.5895
13,6,220.437,-103.262,17.9566
13,7,3.67721,-80.0813,41.1372
13,8,97.6457,-110.095,11.1235
13,12,232.863,-104.657,16.5615
13,14,94.6201,-108.418,12.8006
13,16,261.843,-111.648,9.57098
14,10,248.678,-122.018,5.12535
13,9,252.867,-121.876,2.26673
9,8,266.463,-112.455,2.62504
11,2,95.0663,-97.7535,23.4649
11,3,219.063,-119.513,11.7096
11,4,28.3922,-89.4805,31.738
11,5,12.729,-79.7108,41.5077
11,6,95.4669,-96.2275,24.991
11,9,99.5429,-101.494,19.7242
11,10,19.5754,-85.7845,35.434
11,12,94.6331,-110.962,12.3091
11,14,232.548,-105.485,15.7338
11,16,17.5949,-86.7219,34.4965
5,9,102.578,-117.641,8.59085
11,7,251.325,-115.973,5.24507
11,13,254.557,-121.616,3.38312
7,1,11.9548,-80.8404,40.378
7,3,92.3426,-101.505,19.7132
7,6,217.575,-104.945,16.2739
7,8,94.6256,-96.2659,24.9526
7,12,230.208,-104.055,17.1636
7,13,3.74587,-80.2325,40.986
7,14,91.6468,-97.6791,23.5394
7,16,258.654,-116.957,6.93204
7,4,265.334,-109.299,5.62021
7,5,239.318,-117.57,3.64843
7,10,262.461,-119.151,2.06709
7,11,251.115,-115.968,5.25047
16,1,248.783,-112.319,11.0538
16,3,231.426,-107.903,13.3152
16,4,11.0546,-89.6441,31.5744
16,5,28.6078,-86.1127,35.1058
16,6,86.4242,-97.7401,23.4784
16,8,243.052,-121.259,6.46824
16,9,85.5749,-94.7315,26.487
16,10,3.80108,-81.2283,39.9901
16,11,17.7555,-86.8202,34.3983
16,12,83.5273,-97.1863,24.0322
16,13,261.76,-111.646,9.57288
16,2,79.4818,-107.622,11.6264
8,1,98.3273,-96.0179,25.2006
8,2,276.236,-112.297,8.92178
8,3,11.9993,-82.1557,39.0627
8,4,252.452,-122.913,9.92989
8,5,216.861,-107.775,13.4436
8,6,234.404,-105.083,11.6021
8,7,94.6283,-96.2659,24.9526
8,10,246.622,-108.795,11.3318
8,12,246.295,-111.646,9.57259
8,13,97.658,-110.095,11.1231
8,14,3.69276,-76.2589,44.9596
9,1,238.851,-103.757,17.4614
9,2,15.6648,-96.91,24.3085
9,3,254.632,-114.582,6.63604
9,4,78.933,-94.6355,26.583
9,5,103.071,-120.418,7.75136
9,6,33.8516,-89.9392,31.2793
9,10,86.3505,-96.7937,24.4248
9,11,99.5099,-101.489,19.7295
9,12,21.0474,-86.9229,34.2956
9,14,267.669,-105.913,15.3053
9,16,85.4452,-94.7174,26.5011
12,1,218.171,-105.455,15.7632
