time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,rb_start,rb_len,priority,mcs,tb_size_bytes,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,gap_retx1,gap_retx2
12609.7500,2,2,1260,9,3,0,1,30,10,7,14,308,20,5,3,1,3,21,33
12620.2500,1,1,1262,0,1,0,1,10,10,7,14,308,20,5,1,1,3,3,6
12621.0000,2,2,1262,1,0,0,1,10,10,7,14,308,20,5,1,1,3,6,255
12626.0000,1,1,1262,6,0,0,1,40,10,7,14,308,20,5,4,1,3,23,255
12673.5000,3,3,1267,3,2,0,1,0,10,7,14,308,20,5,0,1,3,19,24
12684.5000,3,3,1268,4,2,0,1,0,10,7,14,308,20,5,0,1,3,3,255
12709.7500,2,2,1270,9,3,0,1,30,10,7,14,308,20,5,3,1,3,21,33
12721.0000,2,2,1272,1,0,0,1,10,10,7,14,308,20,5,1,1,3,6,255
12809.7500,2,2,1280,9,3,0,1,30,10,7,14,308,20,5,3,1,3,21,33
12821.0000,2,2,1282,1,0,0,1,10,10,7,14,308,20,5,1,1,3,6,255
12909.7500,2,2,1290,9,3,0,1,30,10,7,14,308,20,5,3,1,3,21,33
12920.2500,1,1,1292,0,1,0,1,10,10,7,14,308,20,5,1,1,3,3,6
12921.0000,2,2,1292,1,0,0,1,10,10,7,14,308,20,5,1,1,3,6,255
12926.0000,1,1,1292,6,0,0,1,40,10,7,14,308,20,5,4,1,3,23,255
12973.5000,3,3,1297,3,2,0,1,0,10,7,14,308,20,5,0,1,3,19,24
12984.5000,3,3,1298,4,2,0,1,0,10,7,14,308,20,5,0,1,3,3,255
13009.7500,2,2,1300,9,3,0,1,30,10,7,14,308,20,5,3,1,3,21,33
13021.0000,2,2,1302,1,0,0,1,10,10,7,14,308,20,5,1,1,3,6,255
13109.7500,2,2,1310,9,3,0,1,30,10,7,14,308,20,5,3,1,3,21,33
13121.0000,2,2,1312,1,0,0,1,10,10,7,14,308,20,5,1,1,3,6,255
13204.0000,2,2,1320,4,0,0,1,0,10,7,14,308,20,5,0,1,3,11,43
13215.5000,2,2,1321,5,2,0,1,30,10,7,14,308,20,5,3,1,3,20,255
13220.2500,1,1,1322,0,1,0,1,10,10,7,14,308,20,5,1,1,3,3,6
13226.0000,1,1,1322,6,0,0,1,40,10,7,14,308,20,5,4,1,3,23,255
