time,vehicle,speed,lane
51.0,veh16,12.26,1
51.0,veh17,11.11,1
52.0,veh15,13.87,0
52.0,veh20,3.47,0
52.0,veh2,20.82,1
52.0,veh5,11.1,0
52.0,veh10,3.46,0
52.0,veh9,3.46,0
52.0,veh4,20.83,1
52.0,veh3,6.92,0
52.0,veh1,6.92,0
52.0,veh7,11.1,0
52.0,veh11,9.71,0
52.0,veh14,11.09,0
52.0,veh18,13.89,0
52.0,veh19,6.93,0
52.0,veh13,9.17,0
52.0,veh6,8.32,0
52.0,veh12,6.93,0
52.0,veh8,12.48,1
52.0,veh16,11.89,1
52.0,veh17,11.11,1
53.0,veh15,13.87,0
53.0,veh20,3.46,0
53.0,veh2,20.82,1
53.0,veh10,3.46,0
53.0,veh9,3.46,0
53.0,veh4,20.82,1
53.0,veh3,6.92,0
53.0,veh1,6.94,0
53.0,veh12,6.93,0
53.0,veh7,11.09,0
53.0,veh11,9.72,0
53.0,veh5,11.11,0
53.0,veh14,11.1,0
53.0,veh18,13.88,0
53.0,veh19,6.93,0
53.0,veh13,8.85,0
53.0,veh6,8.31,0
53.0,veh8,12.14,1
53.0,veh16,11.64,1
53.0,veh17,11.09,1
54.0,veh11,9.71,0
54.0,veh15,13.88,0
54.0,veh20,3.46,0
54.0,veh10,3.46,0
54.0,veh9,3.45,0
54.0,veh4,20.82,1
54.0,veh3,6.93,0
54.0,veh1,6.94,0
54.0,veh2,20.82,1
54.0,veh12,6.93,0
54.0,veh7,11.1,0
54.0,veh17,11.11,1
54.0,veh5,11.1,0
54.0,veh14,11.09,0
54.0,veh18,13.88,0
54.0,veh19,6.94,0
54.0,veh13,8.65,0
54.0,veh6,8.32,0
54.0,veh8,11.86,1
54.0,veh16,11.47,1
55.0,veh11,9.7,0
55.0,veh15,13.88,0
55.0,veh20,3.46,0
55.0,veh10,3.47,0
55.0,veh9,3.46,0
55.0,veh4,20.82,1
55.0,veh3,6.93,0
55.0,veh1,6.92,0
55.0,veh2,20.83,1
55.0,veh12,6.93,0
55.0,veh7,11.09,0
55.0,veh16,11.35,1
55.0,veh17,11.1,1
55.0,veh5,11.09,0
55.0,veh14,11.09,0
55.0,veh18,13.88,0
55.0,veh19,6.93,0
55.0,veh13,8.54,0
55.0,veh6,8.32,0
55.0,veh8,11.64,1
56.0,veh11,9.71,0
56.0,veh15,13.88,0
56.0,veh10,3.46,0
56.0,veh9,3.46,0
56.0,veh4,20.82,1
56.0,veh20,3.46,0
56.0,veh3,5.72,0
56.0,veh1,5.74,0
56.0,veh2,20.82,1
56.0,veh12,6.93,0
56.0,veh7,11.1,0
56.0,veh16,11.27,1
56.0,veh17,11.11,1
56.0,veh5,11.1,0
56.0,veh14,11.11,0
56.0,veh18,13.88,0
56.0,veh19,6.93,0
56.0,veh13,8.46,0
56.0,veh6,8.32,0
56.0,veh8,11.5,1
57.0,veh11,9.71,0
57.0,veh15,13.88,0
57.0,veh4,20.83,1
57.0,veh10,3.45,0
57.0,veh9,3.46,0
57.0,veh20,3.46,0
57.0,veh3,3.45,0
57.0,veh1,3.46,0
57.0,veh2,20.81,1
57.0,veh6,8.32,0
57.0,veh12,6.94,0
57.0,veh7,11.1,0
57.0,veh8,11.38,1
57.0,veh16,11.19,1
57.0,veh17,11.1,1
57.0,veh5,11.11,0
57.0,veh14,11.1,0
57.0,veh18,13.87,0
57.0,veh19,6.93,0
57.0,veh13,10.31,1
58.0,veh11,9.71,0
